,MatchId,MapName,RoundNum,RoundTick,BombPlantedA,BombPlantedB,AttackerSide,VictimSide,AttackerSteamId,EventType,VictimSteamId,TAlive,CTAlive,TTotalHp,CTTotalHp,ClosestDistToA_T,ClosestDistToB_T,ChangeClosestDistToA_T,ChangeClosestDistToB_T,ClosestDistToA_CT,ClosestDistToB_CT,ChangeClosestDistToA_CT,ChangeClosestDistToB_CT,RoundEndReason,CTBuyType,TBuyType,WinningSide,TWinProb
4487,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,4116,False,False,CT,T,7.656119800485496e+16,DamageDealt,7.656119797883517e+16,5.0,5.0,386.0,400.0,32.0,21.0,0.0,4.0,14.0,16.0,0.0,-1.0,BombDefused,Pistol,Pistol,CT,0.45833491217463035
4488,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,4130,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,32.0,27.0,0.0,6.0,14.0,16.0,0.0,0.0,BombDefused,Pistol,Pistol,CT,0.4472775313407689
4489,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,4259,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,32.0,28.0,0.0,1.0,14.0,12.0,0.0,-4.0,BombDefused,Pistol,Pistol,CT,0.44156225144549094
4490,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,4388,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,32.0,28.0,0.0,0.0,14.0,12.0,0.0,0.0,BombDefused,Pistol,Pistol,CT,0.441251559842292
4491,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,4517,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,32.0,28.0,0.0,0.0,14.0,12.0,0.0,0.0,BombDefused,Pistol,Pistol,CT,0.4408240571469864
4492,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,4646,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,32.0,28.0,0.0,0.0,14.0,12.0,0.0,0.0,BombDefused,Pistol,Pistol,CT,0.44039664218205776
4493,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,4775,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,32.0,28.0,0.0,0.0,14.0,15.0,0.0,3.0,BombDefused,Pistol,Pistol,CT,0.44209504069660094
4494,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,4904,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,31.0,24.0,-1.0,-4.0,14.0,14.0,0.0,-1.0,BombDefused,Pistol,Pistol,CT,0.4491064606799981
4495,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,5033,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,30.0,24.0,-1.0,0.0,14.0,16.0,0.0,2.0,BombDefused,Pistol,Pistol,CT,0.4519877376363218
4496,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,5162,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,30.0,25.0,0.0,1.0,14.0,15.0,0.0,-1.0,BombDefused,Pistol,Pistol,CT,0.4490612417569995
4497,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,5291,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,30.0,25.0,0.0,0.0,14.0,14.0,0.0,-1.0,BombDefused,Pistol,Pistol,CT,0.44786477038600503
4498,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,5420,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,30.0,25.0,0.0,0.0,14.0,15.0,0.0,1.0,BombDefused,Pistol,Pistol,CT,0.4482046752212364
4499,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,5549,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,30.0,25.0,0.0,0.0,12.0,15.0,-2.0,0.0,BombDefused,Pistol,Pistol,CT,0.44617615616526424
4500,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,5678,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,30.0,25.0,0.0,0.0,8.0,14.0,-4.0,-1.0,BombDefused,Pistol,Pistol,CT,0.44225246199031193
4501,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,5807,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,30.0,25.0,0.0,0.0,8.0,11.0,0.0,-3.0,BombDefused,Pistol,Pistol,CT,0.4403435239623521
4502,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,5936,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,30.0,25.0,0.0,0.0,6.0,10.0,-2.0,-1.0,BombDefused,Pistol,Pistol,CT,0.43784548573358706
4503,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,6065,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,30.0,25.0,0.0,0.0,6.0,9.0,0.0,-1.0,BombDefused,Pistol,Pistol,CT,0.43706193982524805
4504,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,6194,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,30.0,25.0,0.0,0.0,8.0,7.0,2.0,-2.0,BombDefused,Pistol,Pistol,CT,0.43681316321179414
4505,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,6323,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,29.0,24.0,-1.0,-1.0,9.0,9.0,1.0,2.0,BombDefused,Pistol,Pistol,CT,0.44141728847127304
4506,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,6452,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,30.0,25.0,1.0,1.0,8.0,11.0,-1.0,2.0,BombDefused,Pistol,Pistol,CT,0.4385604068085859
4507,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,6581,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,30.0,25.0,0.0,0.0,7.0,12.0,-1.0,1.0,BombDefused,Pistol,Pistol,CT,0.43789385975424727
4508,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,6710,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,31.0,28.0,1.0,3.0,6.0,12.0,-1.0,0.0,BombDefused,Pistol,Pistol,CT,0.43026684248622193
4509,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,6839,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,32.0,28.0,1.0,0.0,5.0,12.0,-1.0,0.0,BombDefused,Pistol,Pistol,CT,0.4275272099714792
4510,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,6968,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,32.0,28.0,0.0,0.0,5.0,12.0,0.0,0.0,BombDefused,Pistol,Pistol,CT,0.42715244416955117
4511,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,7097,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,32.0,24.0,0.0,-4.0,5.0,12.0,0.0,0.0,BombDefused,Pistol,Pistol,CT,0.4337261287670338
4512,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,7226,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,32.0,25.0,0.0,1.0,5.0,12.0,0.0,0.0,BombDefused,Pistol,Pistol,CT,0.432003146959945
4513,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,7355,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,31.0,21.0,-1.0,-4.0,5.0,12.0,0.0,0.0,BombDefused,Pistol,Pistol,CT,0.4397475073275377
4514,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,7484,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,31.0,17.0,0.0,-4.0,5.0,12.0,0.0,0.0,BombDefused,Pistol,Pistol,CT,0.4469188593802045
4515,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,7613,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,33.0,17.0,2.0,0.0,5.0,12.0,0.0,0.0,BombDefused,Pistol,Pistol,CT,0.444405945896643
4516,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,7742,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,32.0,21.0,-1.0,4.0,3.0,12.0,-2.0,0.0,BombDefused,Pistol,Pistol,CT,0.43648043693286276
4517,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,7871,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,32.0,27.0,0.0,6.0,1.0,12.0,-2.0,0.0,BombDefused,Pistol,Pistol,CT,0.4239637802556187
4518,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,8000,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,33.0,28.0,1.0,1.0,1.0,12.0,0.0,0.0,BombDefused,Pistol,Pistol,CT,0.4201572497483862
4519,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,8129,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,33.0,23.0,0.0,-5.0,3.0,12.0,2.0,0.0,BombDefused,Pistol,Pistol,CT,0.42976867503102756
4520,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,8258,False,False,,,,PositionUpdate,,5.0,5.0,386.0,400.0,33.0,20.0,0.0,-3.0,7.0,12.0,4.0,0.0,BombDefused,Pistol,Pistol,CT,0.43794220117285776
